SiteCode,SiteName,Latitude,Longitude,County,SiteState,LatLongDatumSRSName,Elevation,SiteType

wq1333,Vattholma N. Bron,60.019712,17.730819,,,WGS84,39
wq1334,Viken,60.120596,17.775569,,,WGS84,38
wq1335,Herrgårdsdammen,60.194726,17.900469,,,WGS84,40
wq1353,Hovgårdsån Munkhättan,56.876651,12.790245,,,WGS84,106
wq1354,Lillån G:a Järnvägsbron,56.704765,13.070263,,,WGS84,129
wq1355,Blankan Ryerna,56.570997,13.300784,,,WGS84,152
wq1356,Hästgångsån Hästgången,57.563359,14.315615,,,WGS84,281
wq1357,Skuggälven Ängarna,58.919886,11.417397,,,WGS84,147
wq1358,Enångersån V. Lövås,61.545606,16.780141,,,WGS84,237
wq1359,Källsjöån Källsjöklack,61.631791,16.749846,,,WGS84,311
wq1361,Ådalsån Lyckemyran (D),62.7446,17.145204,,,WGS84,342
wq1362,Storselsån Storsele,63.736305,18.147834,,,WGS84,396
wq1363,Arån Arålund,62.896507,13.654383,,,WGS84,865
wq1367,Trollbäcken. mynningen,56.32317,13.122698,,,WGS84,152
wq1375,Kävlingeån Högsmölla,55.779736,13.076649,,,WGS84,78
wq1398,Haraldssjöån Sandån Övre,59.826034,15.501178,,,WGS84,244
wq1400,Strönhultsån G. Kvarnen,56.387185,14.38374,,,WGS84,150
wq1445,Mansån,59.886587,13.353486,,,WGS84,280.57
wq1447,Stockholm Centralbron,59.327109,18.061029,,,WGS84,88
wq1456,Norrhultsbäcken,57.123049,15.177535,,,WGS84,261
wq1460,Aneboda IM,57.115148,14.554869,,,WGS84,228
wq1462,Kindlahöjden IM,59.753239,14.911417,,,WGS84,358
wq1472,Sågebäcken,57.849313,12.657066,,,WGS84,211
wq1473,Kvarnebäcken,58.994322,11.863902,,,WGS84,197
wq1490,Åkers kanal,59.470838,18.290841,,,WGS84,29
wq1492,Stormyra (huvudfåra),59.192288,18.331318,,,WGS84,45
wq1494,Märstaån,59.611723,17.844401,,,WGS84,27
wq1495,Bällstaån,59.366278,17.948224,,,WGS84,23
wq1531,Mälskarbäcken,64.801699,16.834946,,,WGS84,477
wq1532,Bjurbäcken,64.677334,20.38976,,,WGS84,232
wq1533,Alep Uttjajåkkå,66.602268,18.926689,,,WGS84,560
wq1534,Gnyltån,57.539943,14.131201,,,WGS84,228
wq1535,Dammån,57.017877,15.337686,,,WGS84,269
wq1536,Morån,57.23722,15.853247,,,WGS84,147
wq1537,Hörlingeån-Rökeå,56.229959,13.653568,,,WGS84,113
wq1538,Lillån-Bosgårdsån,56.961965,13.061296,,,WGS84,136
wq1539,Lillån (Oskarsström),56.857311,12.981231,,,WGS84,145
wq1540,Ejgstån,58.951831,11.272572,,,WGS84,68
wq1541,Stråfulan,61.716035,12.63242,,,WGS84,720
wq1542,Härån (Storån),61.735973,16.457848,,,WGS84,302
wq1543,Sörjabäcken (Lillån),60.758845,16.422344,,,WGS84,265
wq1544,Hornsjöbäcken,62.84501,17.371635,,,WGS84,316
wq1588,Viskansbäcken,62.452396,16.436584,,,WGS84,282
wq1591,Bjässjöån,62.574577,17.09475,,,WGS84,242
wq1595,Kärmsjöbäcken,63.867587,16.805751,,,WGS84,344
wq1596,Kvarnån,63.43332,16.529158,,,WGS84,305
wq1629,Tyresån,59.233047,18.304187,,,WGS84,
wq1657,Lindåsabäcken,57.669561,13.05076,,,WGS84,226
wq1671,Bastuån,63.094488,13.897627,,,WGS84,872
wq1681,Råckstaåns utl.,59.244742,17.172028,,,WGS84,42
wq1749,Bergmyrbäcken,65.592391,19.083869,,,WGS84,552
wq1750,Viepsajåkkå,66.478048,17.663508,,,WGS84,663
wq1751,Akkarjåkkå,67.864197,19.440019,,,WGS84,807
wq1752,Yl. Kihlankijoki,67.615285,23.471255,,,WGS84,266
wq1753,Rokån,65.333735,20.857858,,,WGS84,319
wq1759,Björnbackån,60.758276,16.428936,,,WGS84,282
wq1761,Surmyrdalsbäcken.elfiske,63.675316,19.259859,,,WGS84,236
wq1763,Fiskonbäcken. v.vid mynn,64.991593,15.22641,,,WGS84,854
wq1850,Myrkanalen,63.971295,19.404672,,,WGS84,210
wq1852,Röjvattsbäcken,63.970369,18.836432,,,WGS84,336
wq1853,Stridbäcken (ovan dos),63.508083,19.26777,,,WGS84,183
wq1858,Västerån. Gravå,64.093411,20.130985,,,WGS84,216
wq1864,Lillån. E4:an,63.5972,19.714332,,,WGS84,78
wq1873,Byskebäcken,64.9575,21.20935,,,WGS84,56
wq1875,Fusbäcken,63.772033,19.693864,,,WGS84,185
wq1877,Lagbäcken,64.362078,16.200418,,,WGS84,448
wq1878,Kvarnbäcken(Luspsjön),65.12425,16.948575,,,WGS84,463
wq1879,Storbäcken (Njakafjäll),64.933483,15.699201,,,WGS84,640
wq2029,Gammtratten IM,63.854582,18.115359,,,WGS84,452
wq2032,Fagerhultbäcken,57.802871,12.63217,,,WGS84,163
wq2033,Fallabäcken,58.422741,14.271595,,,WGS84,193
wq2101,Åvaån. fiskfällan,59.168984,18.356537,,,WGS84,48
wq2121,Strömarån,60.422375,17.76129,,,WGS84,34
wq2123,Björkeredsbäcken,56.521881,13.333446,,,WGS84,112
wq2124,Färgeån,56.943724,13.110635,,,WGS84,133
wq2125,Nyrebäcken,56.657305,12.734383,,,WGS84,38
wq2126,Trösälven,59.484323,14.516856,,,WGS84,228
wq2129,Ö. Anråsälven,58.642154,11.343038,,,WGS84,89
wq2132,Skärån. Skäralid,56.036502,13.246956,,,WGS84,144
wq2133,Häradsbäcken,57.989138,15.052372,,,WGS84,237
wq2135,Hångelån,62.195929,15.981762,,,WGS84,177
wq2136,Verkaån. Haväng,55.721509,14.187773,,,WGS84,123
wq2256,Vingån. Vingäng,60.686504,12.914106,,,WGS84,453
wq2257,Pyntbäcken,60.036344,12.609056,,,WGS84,338
wq2371,Rökeån Vedema,56.208249,13.62964,,,WGS84,122
wq2775,Svanån. vid vägen,57.570783,13.728617,,,WGS84,240
wq2780,Musån. Åsvedjan,57.448154,13.361538,,,WGS84,229
wq2781,Enån. nedan sågen,59.886519,13.48857,,,WGS84,255
wq2782,Tangån. Tangådalsstugan,61.484184,12.845588,,,WGS84,931
